Shift,"Shift ID",Date,start,end,Duration,"Worker ID",business_id
"Day Shift",4352,2021-02-26,05:27:51,08:00:00,3,436,42
"Day Shift",4353,2021-02-26,05:28:09,08:00:00,3,301,42
"Day Shift",4354,2021-02-26,05:35:44,13:58:45,8,497,47
"Day Shift",4355,2021-02-26,05:46:29,14:11:00,9,381,46
"Day Shift",4356,2021-02-26,05:48:59,14:09:46,9,379,46
"Day Shift",4357,2021-02-26,05:49:13,14:12:56,9,378,46
"Day Heavy Shift",4358,2021-02-26,05:49:54,18:03:13,13,507,47
"Day Heavy Shift",4359,2021-02-26,05:50:14,18:08:04,13,472,47
"Day Shift",4360,2021-02-26,05:50:45,14:03:26,9,465,47
"Day Shift",4361,2021-02-26,05:51:29,13:58:40,8,516,47
"Day Shift",4362,2021-02-26,05:51:52,14:17:44,9,375,46
"Day Shift",4363,2021-02-26,05:52:10,14:09:38,9,382,46
"Day Shift",4364,2021-02-26,05:52:14,14:12:13,9,377,46
"Day Shift",4365,2021-02-26,05:52:40,14:18:59,9,434,46
"Day Shift",4366,2021-02-26,05:52:49,14:14:43,9,360,46
"Day Shift",4367,2021-02-26,05:53:24,14:14:07,9,372,46
"Day Shift",4368,2021-02-26,05:53:42,14:17:04,9,371,46
"Day Shift",4369,2021-02-26,05:54:25,14:13:41,9,376,46
"Day Shift",4370,2021-02-26,05:54:37,14:02:27,9,506,47
"Day Shift",4371,2021-02-26,05:54:45,14:17:38,9,584,46
"Day Shift",4372,2021-02-26,05:55:25,14:00:46,9,494,47
"Day Heavy Shift",4373,2021-02-26,05:55:43,18:00:50,13,513,47
"Day Heavy Shift",4374,2021-02-26,05:56:25,18:04:47,13,475,47
"Day Shift",4375,2021-02-26,05:57:37,14:17:25,9,361,46
"Day Shift",4376,2021-02-26,05:57:54,14:03:37,9,466,47
"Day Shift",4377,2021-02-26,05:58:22,14:16:31,9,435,46
"Day Shift",4378,2021-02-26,05:58:24,13:57:55,8,529,47
"Day Shift",4379,2021-02-26,05:58:30,14:15:24,9,369,46
"Day Shift",4380,2021-02-26,05:59:51,14:14:29,9,368,46
"Day Shift",4381,2021-02-26,05:59:56,14:05:27,9,478,47
"Day Shift",4382,2021-02-26,06:00:01,14:02:20,8,517,47
"Day Heavy Shift",4383,2021-02-26,06:00:07,18:01:31,12,496,47
"Day Heavy Shift",4384,2021-02-26,06:00:13,18:06:23,12,511,47
"Day Heavy Shift",4385,2021-02-26,06:00:18,18:07:52,12,471,47
"Day Shift",4386,2021-02-26,06:00:55,14:17:55,8,370,46
"Day Shift",4387,2021-02-26,06:01:25,14:13:09,8,365,46
"Day Shift",4388,2021-02-26,06:01:39,14:12:46,8,363,46
"Day Shift",4389,2021-02-26,06:01:45,14:16:10,8,366,46
"Day Shift",4390,2021-02-26,06:01:51,14:11:34,8,355,46
"Day Shift",4391,2021-02-26,06:01:59,14:16:19,8,374,46
"Day Shift",4392,2021-02-26,06:02:08,14:17:18,8,383,46
"Day Shift",4393,2021-02-26,06:02:32,14:13:48,8,364,46
"Day Heavy Shift",4394,2021-02-26,06:02:44,18:05:19,12,470,47
"Day Shift",4395,2021-02-26,06:02:50,14:12:26,8,384,46
"Day Shift",4396,2021-02-26,06:03:11,14:01:04,8,573,47
"Day Shift",4397,2021-02-26,06:03:36,14:14:57,8,380,46
"Day Shift",4398,2021-02-26,06:03:47,14:17:14,8,362,46
"Day Shift",4399,2021-02-26,06:09:42,14:10:53,8,538,47
"Day Shift",4400,2021-02-26,06:10:17,13:58:05,7,525,47
"Day Shift",4401,2021-02-26,06:20:53,14:03:32,8,464,47
"Day Shift",4402,2021-02-26,06:35:46,14:30:00,8,459,41
"Day Shift",4402,2021-02-26,06:35:46,14:30:00,8,459,41
"Day Shift",4402,2021-02-26,06:35:46,14:30:00,8,459,41
"Day Shift",4403,2021-02-26,06:35:59,14:30:00,8,437,41
"Day Shift",4403,2021-02-26,06:35:59,14:30:00,8,437,41
"Day Shift",4404,2021-02-26,06:36:27,14:30:00,8,283,41
"Day Shift",4404,2021-02-26,06:36:27,14:30:00,8,283,41
"Day Shift",4404,2021-02-26,06:36:27,14:30:00,8,283,41
"Day Shift",4405,2021-02-26,06:45:44,14:30:00,8,315,41
"Day Shift",4406,2021-02-26,07:05:49,14:45:57,7,413,46
"Day Heavy Shift",4407,2021-02-26,07:09:49,18:11:41,11,495,47
"Day Shift",4408,2021-02-26,07:20:24,15:12:15,8,552,47
"Day Shift",4409,2021-02-26,07:21:55,15:11:58,8,544,47
"Day Heavy Shift",4410,2021-02-26,07:46:38,20:47:08,13,487,47
"Day Heavy Shift",4411,2021-02-26,08:01:41,20:00:06,12,784,50
"Day Heavy Shift",4412,2021-02-26,08:02:15,20:05:53,12,754,50
"Day Heavy Shift",4413,2021-02-26,08:02:36,20:00:00,12,757,50
"Day Heavy Shift",4414,2021-02-26,08:03:40,20:00:42,12,859,50
"Day Heavy Shift",4415,2021-02-26,08:04:13,20:00:52,12,758,50
"Day Heavy Shift",4416,2021-02-26,08:04:23,20:04:59,12,755,50
"Day Heavy Shift",4417,2021-02-26,08:05:36,19:59:10,11,772,50
"Day Heavy Shift",4418,2021-02-26,08:06:44,20:04:05,12,820,50
"Day Heavy Shift",4419,2021-02-26,08:07:52,20:03:53,12,768,50
"Day Heavy Shift",4420,2021-02-26,08:10:00,19:59:03,11,767,50
"Day Heavy Shift",4421,2021-02-26,08:10:08,20:03:00,12,733,50
"Day Heavy Shift",4422,2021-02-26,08:11:34,20:00:00,12,771,50
"Day Heavy Shift",4423,2021-02-26,08:11:58,20:02:06,12,732,50
"Day Heavy Shift",4424,2021-02-26,08:12:18,20:02:31,12,737,50
"Day Shift",4425,2021-02-26,08:21:41,17:00:00,9,545,47
"Day Heavy Shift",4426,2021-02-26,08:28:27,20:30:00,12,690,38
"Day Heavy Shift",4427,2021-02-26,08:30:54,20:30:00,12,689,38
"Day Heavy Shift",4428,2021-02-26,08:31:43,20:32:58,12,684,38
"Day Heavy Shift",4429,2021-02-26,08:37:59,20:21:34,12,682,38
"Day Heavy Shift",4430,2021-02-26,08:45:41,21:00:00,13,819,50
"Day Heavy Shift",4431,2021-02-26,08:49:57,18:05:00,10,578,46
"Day Heavy Shift",4432,2021-02-26,08:53:30,18:01:14,10,387,46
"Day Heavy Shift",4433,2021-02-26,08:55:18,20:59:07,12,486,47
"Day Heavy Shift",4434,2021-02-26,08:56:41,21:00:00,13,818,50
"Day Shift",4435,2021-02-26,08:56:44,17:01:23,9,485,47
"Day Heavy Shift",4436,2021-02-26,08:56:53,18:07:03,10,398,46
"Day Heavy Shift",4437,2021-02-26,08:57:03,21:00:00,13,809,50
"Day Heavy Shift",4438,2021-02-26,08:57:10,21:00:00,13,812,50
"Day Heavy Shift",4439,2021-02-26,08:57:22,18:00:59,10,388,46
"Day Shift",4440,2021-02-26,08:59:19,17:00:07,9,532,47
"Day Heavy Shift",4441,2021-02-26,08:59:45,21:02:03,13,603,46
"Day Shift",4442,2021-02-26,08:59:58,17:04:58,9,482,47
"Day Heavy Shift",4443,2021-02-26,09:00:22,21:01:58,12,604,46
"Day Heavy Shift",4443,2021-02-26,09:00:22,21:01:58,12,604,46
"Day Heavy Shift",4444,2021-02-26,09:00:46,21:02:32,12,313,46
"Day Heavy Shift",4444,2021-02-26,09:00:46,21:02:32,12,313,46
"Day Heavy Shift",4444,2021-02-26,09:00:46,21:02:32,12,313,46
"Day Heavy Shift",4445,2021-02-26,09:01:12,21:02:59,12,600,46
"Day Heavy Shift",4445,2021-02-26,09:01:12,21:02:59,12,600,46
"Day Heavy Shift",4446,2021-02-26,09:01:34,21:02:41,12,717,46
"Day Shift",4447,2021-02-26,09:01:42,17:00:51,8,533,47
"Day Heavy Shift",4448,2021-02-26,09:01:46,19:03:14,10,484,47
"Day Heavy Shift",4449,2021-02-26,09:01:53,19:00:12,10,490,47
"Day Heavy Shift",4450,2021-02-26,09:01:55,21:02:19,12,695,46
"Day Heavy Shift",4451,2021-02-26,09:02:26,21:02:37,12,694,46
"Day Heavy Shift",4452,2021-02-26,09:03:04,21:02:28,12,606,46
"Day Heavy Shift",4453,2021-02-26,09:03:40,21:03:18,12,605,46
"Day Shift",4454,2021-02-26,09:04:17,18:02:15,9,441,42
"Day Shift",4455,2021-02-26,09:04:23,18:04:14,9,442,42
"Day Shift",4456,2021-02-26,09:04:28,18:02:26,9,589,42
"Day Shift",4457,2021-02-26,09:04:33,18:04:06,9,451,42
"Day Shift",4458,2021-02-26,09:04:41,18:06:40,9,455,42
"Day Shift",4459,2021-02-26,09:05:04,18:04:23,9,450,42
"Day Shift",4460,2021-02-26,09:05:43,18:06:23,9,390,46
"Day Heavy Shift",4461,2021-02-26,09:05:48,20:00:00,11,559,42
"Day Heavy Shift",4462,2021-02-26,09:06:27,21:02:23,12,696,46
"Day Heavy Shift",4463,2021-02-26,09:07:04,21:07:43,12,711,46
"Day Heavy Shift",4464,2021-02-26,09:07:39,19:03:11,10,480,47
"Day Heavy Shift",4465,2021-02-26,09:07:50,19:00:25,10,492,47
"Day Shift",4466,2021-02-26,09:08:15,17:49:58,8,400,41
"Day Heavy Shift",4467,2021-02-26,09:08:21,20:02:10,11,401,41
"Day Heavy Shift",4468,2021-02-26,09:08:26,20:02:03,11,402,41
"Day Shift",4469,2021-02-26,09:08:43,12:56:07,3,481,47
"Day Shift",4470,2021-02-26,09:10:50,18:54:52,9,531,47
"Day Heavy Shift",4471,2021-02-26,09:11:00,20:00:00,11,448,42
"Day Heavy Shift",4472,2021-02-26,09:11:13,20:01:54,11,405,41
"Day Heavy Shift",4473,2021-02-26,09:11:19,20:00:00,11,445,42
"Day Shift",4474,2021-02-26,09:11:59,18:04:53,9,571,42
"Day Heavy Shift",4475,2021-02-26,09:12:21,20:00:00,11,447,42
