"Shift ID","Shift created on","Shift confirmed by worker at",start_time,end_time,updated_at,business_id,"Worker ID","Worker Onboarded on","Worker Date of Birth",shift_created_updated_time,shift_confirmed_updated_time,start_updated_time,end_updated_time
4352,2021-02-25T23:57:51.304673,2021-02-25T23:57:51,2021-02-25T23:57:51,2021-02-26T02:30:00,2021-02-26T09:00:07.28032,42,436,2021-02-05T02:43:29.036057,1989-07-11T18:30:00,"2021-02-26 05:27:51.304673","2021-02-26 05:27:51","2021-02-26 05:27:51","2021-02-26 08:00:00"
4353,2021-02-25T23:58:09.52373,2021-02-25T23:58:09,2021-02-25T23:58:09,2021-02-26T02:30:00,2021-02-26T09:00:07.357086,42,301,2021-01-18T13:40:36.318218,1995-01-29,"2021-02-26 05:28:09.523730","2021-02-26 05:28:09","2021-02-26 05:28:09","2021-02-26 08:00:00"
4354,2021-02-24T21:00:11.752801,,2021-02-26T00:05:44,2021-02-26T08:28:45,2021-02-26T08:28:45.318859,47,497,2021-02-05T11:10:50.133765,,"2021-02-25 02:30:11.752801",NULL,"2021-02-26 05:35:44","2021-02-26 13:58:45"
4355,2021-02-24T21:00:07.919368,2021-02-24T21:00:07,2021-02-26T00:16:29,2021-02-26T08:41:00,2021-02-26T08:41:00.807339,46,381,2021-02-01T09:07:22.627375,,"2021-02-25 02:30:07.919368","2021-02-25 02:30:07","2021-02-26 05:46:29","2021-02-26 14:11:00"
4356,2021-02-24T21:00:07.879419,2021-02-26T00:18:52,2021-02-26T00:18:59,2021-02-26T08:39:46,2021-02-26T08:39:46.120887,46,379,2021-02-01T09:06:06.369287,,"2021-02-25 02:30:07.879419","2021-02-26 05:48:52","2021-02-26 05:48:59","2021-02-26 14:09:46"
4357,2021-02-24T21:00:07.859778,2021-02-24T21:00:07,2021-02-26T00:19:13,2021-02-26T08:42:56,2021-02-26T08:42:56.716282,46,378,2021-02-01T09:05:34.964273,,"2021-02-25 02:30:07.859778","2021-02-25 02:30:07","2021-02-26 05:49:13","2021-02-26 14:12:56"
4358,2021-02-24T21:00:12.536719,2021-02-25T00:31:13,2021-02-26T00:19:54,2021-02-26T12:33:13,2021-02-26T12:33:13.096019,47,507,2021-02-05T11:20:12.937085,,"2021-02-25 02:30:12.536719","2021-02-25 06:01:13","2021-02-26 05:49:54","2021-02-26 18:03:13"
4359,2021-02-26T00:20:14.811576,2021-02-26T00:20:14,2021-02-26T00:20:14,2021-02-26T12:38:04,2021-02-26T12:38:04.298782,47,472,2021-02-05T10:46:11.775688,,"2021-02-26 05:50:14.811576","2021-02-26 05:50:14","2021-02-26 05:50:14","2021-02-26 18:08:04"
4360,2021-02-24T21:00:11.66506,,2021-02-26T00:20:45,2021-02-26T08:33:26,2021-02-26T08:33:26.684813,47,465,2021-02-05T10:32:01.211888,,"2021-02-25 02:30:11.665060",NULL,"2021-02-26 05:50:45","2021-02-26 14:03:26"
4361,2021-02-24T21:00:11.806922,,2021-02-26T00:21:29,2021-02-26T08:28:40,2021-02-26T08:28:40.753143,47,516,2021-02-05T11:25:04.855732,,"2021-02-25 02:30:11.806922",NULL,"2021-02-26 05:51:29","2021-02-26 13:58:40"
4362,2021-02-24T21:00:07.789598,2021-02-26T00:20:59,2021-02-26T00:21:52,2021-02-26T08:47:44,2021-02-26T08:47:44.952411,46,375,2021-02-01T09:03:12.574764,,"2021-02-25 02:30:07.789598","2021-02-26 05:50:59","2021-02-26 05:51:52","2021-02-26 14:17:44"
4363,2021-02-24T21:00:07.938349,,2021-02-26T00:22:10,2021-02-26T08:39:38,2021-02-26T08:39:38.616394,46,382,2021-02-01T09:07:53.401648,,"2021-02-25 02:30:07.938349",NULL,"2021-02-26 05:52:10","2021-02-26 14:09:38"
4364,2021-02-24T21:00:07.83129,2021-02-26T00:21:20,2021-02-26T00:22:14,2021-02-26T08:42:13,2021-02-26T08:42:13.55262,46,377,2021-02-01T09:04:26.807064,,"2021-02-25 02:30:07.831290","2021-02-26 05:51:20","2021-02-26 05:52:14","2021-02-26 14:12:13"
4365,2021-02-26T00:22:40.875489,2021-02-26T00:22:40,2021-02-26T00:22:40,2021-02-26T08:48:59,2021-02-26T08:48:59.907362,46,434,2021-02-05T00:40:11.361759,,"2021-02-26 05:52:40.875489","2021-02-26 05:52:40","2021-02-26 05:52:40","2021-02-26 14:18:59"
4366,2021-02-24T21:00:07.497308,2021-02-26T00:21:26,2021-02-26T00:22:49,2021-02-26T08:44:43,2021-02-26T08:44:43.751579,46,360,2021-02-01T08:50:14.919536,,"2021-02-25 02:30:07.497308","2021-02-26 05:51:26","2021-02-26 05:52:49","2021-02-26 14:14:43"
4367,2021-02-24T21:00:07.73021,2021-02-26T00:22:11,2021-02-26T00:23:24,2021-02-26T08:44:07,2021-02-26T08:44:07.221707,46,372,2021-02-01T09:00:56.010616,,"2021-02-25 02:30:07.730210","2021-02-26 05:52:11","2021-02-26 05:53:24","2021-02-26 14:14:07"
4368,2021-02-26T00:23:42.576082,2021-02-26T00:23:42,2021-02-26T00:23:42,2021-02-26T08:47:04,2021-02-26T08:47:04.53083,46,371,2021-02-01T09:00:20.066515,,"2021-02-26 05:53:42.576082","2021-02-26 05:53:42","2021-02-26 05:53:42","2021-02-26 14:17:04"
4369,2021-02-24T21:00:07.810234,2021-02-26T00:21:54,2021-02-26T00:24:25,2021-02-26T08:43:41,2021-02-26T08:43:41.095996,46,376,2021-02-01T09:03:53.794584,,"2021-02-25 02:30:07.810234","2021-02-26 05:51:54","2021-02-26 05:54:25","2021-02-26 14:13:41"
