"Shift ID","Worker ID",business_id,Date,start,end,Duration
4352,436,42,2021-02-26,05:27:51,08:00:00,3
4353,301,42,2021-02-26,05:28:09,08:00:00,3
4354,497,47,2021-02-26,05:35:44,13:58:45,8
4355,381,46,2021-02-26,05:46:29,14:11:00,9
4356,379,46,2021-02-26,05:48:59,14:09:46,9
4357,378,46,2021-02-26,05:49:13,14:12:56,9
4358,507,47,2021-02-26,05:49:54,18:03:13,13
4359,472,47,2021-02-26,05:50:14,18:08:04,13
4360,465,47,2021-02-26,05:50:45,14:03:26,9
4361,516,47,2021-02-26,05:51:29,13:58:40,8
4362,375,46,2021-02-26,05:51:52,14:17:44,9
4363,382,46,2021-02-26,05:52:10,14:09:38,9
4364,377,46,2021-02-26,05:52:14,14:12:13,9
4365,434,46,2021-02-26,05:52:40,14:18:59,9
4366,360,46,2021-02-26,05:52:49,14:14:43,9
4367,372,46,2021-02-26,05:53:24,14:14:07,9
4368,371,46,2021-02-26,05:53:42,14:17:04,9
4369,376,46,2021-02-26,05:54:25,14:13:41,9
4370,506,47,2021-02-26,05:54:37,14:02:27,9
4371,584,46,2021-02-26,05:54:45,14:17:38,9
4372,494,47,2021-02-26,05:55:25,14:00:46,9
4373,513,47,2021-02-26,05:55:43,18:00:50,13
4374,475,47,2021-02-26,05:56:25,18:04:47,13
4375,361,46,2021-02-26,05:57:37,14:17:25,9
4376,466,47,2021-02-26,05:57:54,14:03:37,9
4377,435,46,2021-02-26,05:58:22,14:16:31,9
4378,529,47,2021-02-26,05:58:24,13:57:55,8
4379,369,46,2021-02-26,05:58:30,14:15:24,9
4380,368,46,2021-02-26,05:59:51,14:14:29,9
4381,478,47,2021-02-26,05:59:56,14:05:27,9
4382,517,47,2021-02-26,06:00:01,14:02:20,8
4383,496,47,2021-02-26,06:00:07,18:01:31,12
4384,511,47,2021-02-26,06:00:13,18:06:23,12
4385,471,47,2021-02-26,06:00:18,18:07:52,12
4386,370,46,2021-02-26,06:00:55,14:17:55,8
4387,365,46,2021-02-26,06:01:25,14:13:09,8
4388,363,46,2021-02-26,06:01:39,14:12:46,8
4389,366,46,2021-02-26,06:01:45,14:16:10,8
4390,355,46,2021-02-26,06:01:51,14:11:34,8
4391,374,46,2021-02-26,06:01:59,14:16:19,8
4392,383,46,2021-02-26,06:02:08,14:17:18,8
4393,364,46,2021-02-26,06:02:32,14:13:48,8
4394,470,47,2021-02-26,06:02:44,18:05:19,12
4395,384,46,2021-02-26,06:02:50,14:12:26,8
4396,573,47,2021-02-26,06:03:11,14:01:04,8
4397,380,46,2021-02-26,06:03:36,14:14:57,8
4398,362,46,2021-02-26,06:03:47,14:17:14,8
4399,538,47,2021-02-26,06:09:42,14:10:53,8
4400,525,47,2021-02-26,06:10:17,13:58:05,7
4401,464,47,2021-02-26,06:20:53,14:03:32,8
4402,459,41,2021-02-26,06:35:46,14:30:00,8
4402,459,41,2021-02-26,06:35:46,14:30:00,8
4402,459,41,2021-02-26,06:35:46,14:30:00,8
4403,437,41,2021-02-26,06:35:59,14:30:00,8
4403,437,41,2021-02-26,06:35:59,14:30:00,8
4404,283,41,2021-02-26,06:36:27,14:30:00,8
4404,283,41,2021-02-26,06:36:27,14:30:00,8
4404,283,41,2021-02-26,06:36:27,14:30:00,8
4405,315,41,2021-02-26,06:45:44,14:30:00,8
4406,413,46,2021-02-26,07:05:49,14:45:57,7
4407,495,47,2021-02-26,07:09:49,18:11:41,11
4408,552,47,2021-02-26,07:20:24,15:12:15,8
4409,544,47,2021-02-26,07:21:55,15:11:58,8
4410,487,47,2021-02-26,07:46:38,20:47:08,13
4411,784,50,2021-02-26,08:01:41,20:00:06,12
4412,754,50,2021-02-26,08:02:15,20:05:53,12
4413,757,50,2021-02-26,08:02:36,20:00:00,12
4414,859,50,2021-02-26,08:03:40,20:00:42,12
4415,758,50,2021-02-26,08:04:13,20:00:52,12
4416,755,50,2021-02-26,08:04:23,20:04:59,12
4417,772,50,2021-02-26,08:05:36,19:59:10,11
4418,820,50,2021-02-26,08:06:44,20:04:05,12
4419,768,50,2021-02-26,08:07:52,20:03:53,12
4420,767,50,2021-02-26,08:10:00,19:59:03,11
4421,733,50,2021-02-26,08:10:08,20:03:00,12
4422,771,50,2021-02-26,08:11:34,20:00:00,12
4423,732,50,2021-02-26,08:11:58,20:02:06,12
4424,737,50,2021-02-26,08:12:18,20:02:31,12
4425,545,47,2021-02-26,08:21:41,17:00:00,9
4426,690,38,2021-02-26,08:28:27,20:30:00,12
4427,689,38,2021-02-26,08:30:54,20:30:00,12
4428,684,38,2021-02-26,08:31:43,20:32:58,12
4429,682,38,2021-02-26,08:37:59,20:21:34,12
4430,819,50,2021-02-26,08:45:41,21:00:00,13
4431,578,46,2021-02-26,08:49:57,18:05:00,10
4432,387,46,2021-02-26,08:53:30,18:01:14,10
4433,486,47,2021-02-26,08:55:18,20:59:07,12
4434,818,50,2021-02-26,08:56:41,21:00:00,13
4435,485,47,2021-02-26,08:56:44,17:01:23,9
4436,398,46,2021-02-26,08:56:53,18:07:03,10
4437,809,50,2021-02-26,08:57:03,21:00:00,13
4438,812,50,2021-02-26,08:57:10,21:00:00,13
4439,388,46,2021-02-26,08:57:22,18:00:59,10
4440,532,47,2021-02-26,08:59:19,17:00:07,9
4441,603,46,2021-02-26,08:59:45,21:02:03,13
4442,482,47,2021-02-26,08:59:58,17:04:58,9
4443,604,46,2021-02-26,09:00:22,21:01:58,12
4443,604,46,2021-02-26,09:00:22,21:01:58,12
4444,313,46,2021-02-26,09:00:46,21:02:32,12
4444,313,46,2021-02-26,09:00:46,21:02:32,12
4444,313,46,2021-02-26,09:00:46,21:02:32,12
4445,600,46,2021-02-26,09:01:12,21:02:59,12
4445,600,46,2021-02-26,09:01:12,21:02:59,12
4446,717,46,2021-02-26,09:01:34,21:02:41,12
4447,533,47,2021-02-26,09:01:42,17:00:51,8
4448,484,47,2021-02-26,09:01:46,19:03:14,10
4449,490,47,2021-02-26,09:01:53,19:00:12,10
4450,695,46,2021-02-26,09:01:55,21:02:19,12
4451,694,46,2021-02-26,09:02:26,21:02:37,12
4452,606,46,2021-02-26,09:03:04,21:02:28,12
4453,605,46,2021-02-26,09:03:40,21:03:18,12
4454,441,42,2021-02-26,09:04:17,18:02:15,9
4455,442,42,2021-02-26,09:04:23,18:04:14,9
4456,589,42,2021-02-26,09:04:28,18:02:26,9
4457,451,42,2021-02-26,09:04:33,18:04:06,9
4458,455,42,2021-02-26,09:04:41,18:06:40,9
4459,450,42,2021-02-26,09:05:04,18:04:23,9
4460,390,46,2021-02-26,09:05:43,18:06:23,9
4461,559,42,2021-02-26,09:05:48,20:00:00,11
4462,696,46,2021-02-26,09:06:27,21:02:23,12
4463,711,46,2021-02-26,09:07:04,21:07:43,12
4464,480,47,2021-02-26,09:07:39,19:03:11,10
4465,492,47,2021-02-26,09:07:50,19:00:25,10
4466,400,41,2021-02-26,09:08:15,17:49:58,8
4467,401,41,2021-02-26,09:08:21,20:02:10,11
4468,402,41,2021-02-26,09:08:26,20:02:03,11
4469,481,47,2021-02-26,09:08:43,12:56:07,3
4470,531,47,2021-02-26,09:10:50,18:54:52,9
4471,448,42,2021-02-26,09:11:00,20:00:00,11
4472,405,41,2021-02-26,09:11:13,20:01:54,11
4473,445,42,2021-02-26,09:11:19,20:00:00,11
4474,571,42,2021-02-26,09:11:59,18:04:53,9
4475,447,42,2021-02-26,09:12:21,20:00:00,11
4476,530,47,2021-02-26,09:13:57,17:31:51,8
4477,536,47,2021-02-26,09:14:46,17:00:47,8
4478,595,46,2021-02-26,09:17:45,21:03:07,12
4478,595,46,2021-02-26,09:17:45,21:03:07,12
4479,449,42,2021-02-26,09:19:48,20:00:00,11
4480,393,46,2021-02-26,09:26:11,18:06:14,9
4481,534,47,2021-02-26,09:27:42,17:00:31,8
4482,557,42,2021-02-26,09:30:46,20:00:00,11
4483,543,47,2021-02-26,09:33:15,18:15:36,9
4484,553,47,2021-02-26,09:33:40,19:30:52,10
4485,790,50,2021-02-26,09:35:50,22:00:00,13
4486,542,47,2021-02-26,09:36:29,19:08:48,10
4487,396,46,2021-02-26,09:42:36,20:11:29,11
4488,549,47,2021-02-26,09:44:46,18:33:31,9
4489,556,47,2021-02-26,09:44:50,19:41:04,10
4490,551,47,2021-02-26,09:45:18,19:00:58,10
4491,503,47,2021-02-26,09:46:06,14:45:13,5
4492,776,50,2021-02-26,09:46:58,22:00:00,13
4493,753,50,2021-02-26,09:48:29,22:00:00,13
4494,546,47,2021-02-26,09:51:51,18:39:07,9
4495,555,47,2021-02-26,09:52:08,18:34:07,9
4496,788,50,2021-02-26,09:53:08,22:00:00,13
4497,787,50,2021-02-26,09:54:47,22:00:00,13
4498,775,50,2021-02-26,09:56:08,22:00:00,13
4499,769,50,2021-02-26,09:59:51,22:00:00,13
4500,801,50,2021-02-26,10:01:33,22:00:00,12
4501,509,47,2021-02-26,10:01:36,22:11:33,12
4502,499,47,2021-02-26,10:11:58,22:30:39,12
4503,796,50,2021-02-26,10:14:08,22:00:00,12
4504,541,47,2021-02-26,10:27:26,19:03:43,9
4505,554,47,2021-02-26,11:09:17,20:07:50,9
4506,550,47,2021-02-26,11:55:53,20:07:20,9
4507,394,46,2021-02-26,12:09:51,18:21:36,6
4508,479,47,2021-02-26,12:15:49,22:08:31,10
4509,336,46,2021-02-26,13:34:50,22:16:22,9
4510,339,46,2021-02-26,13:38:10,22:18:31,9
4511,335,46,2021-02-26,13:38:17,22:16:57,9
4512,333,46,2021-02-26,13:38:43,22:18:28,9
4513,342,46,2021-02-26,13:38:49,22:18:04,9
4514,334,46,2021-02-26,13:42:43,22:18:56,9
4515,527,47,2021-02-26,13:42:51,21:52:51,8
4516,498,47,2021-02-26,13:44:27,22:00:16,9
4517,349,46,2021-02-26,13:44:35,22:18:11,9
