"Shift ID",Date,"Worker ID",shift_created_date,shift_created_time,shift_confirmed_date,shift_confirmed_time,time_taken,days_taken
4352,2021-02-26,436,2021-02-26,05:27:51.304673,2021-02-26,05:27:51,0,0
4353,2021-02-26,301,2021-02-26,05:28:09.523730,2021-02-26,05:28:09,0,0
4354,2021-02-26,497,2021-02-25,02:30:11.752801,NULL,NULL,NULL,NULL
4355,2021-02-26,381,2021-02-25,02:30:07.919368,2021-02-25,02:30:07,0,0
4356,2021-02-26,379,2021-02-25,02:30:07.879419,2021-02-26,05:48:52,3,0
4357,2021-02-26,378,2021-02-25,02:30:07.859778,2021-02-25,02:30:07,0,0
4358,2021-02-26,507,2021-02-25,02:30:12.536719,2021-02-25,06:01:13,4,0
4359,2021-02-26,472,2021-02-26,05:50:14.811576,2021-02-26,05:50:14,0,0
4360,2021-02-26,465,2021-02-25,02:30:11.665060,NULL,NULL,NULL,NULL
4361,2021-02-26,516,2021-02-25,02:30:11.806922,NULL,NULL,NULL,NULL
4362,2021-02-26,375,2021-02-25,02:30:07.789598,2021-02-26,05:50:59,3,0
4363,2021-02-26,382,2021-02-25,02:30:07.938349,NULL,NULL,NULL,NULL
4364,2021-02-26,377,2021-02-25,02:30:07.831290,2021-02-26,05:51:20,3,0
4365,2021-02-26,434,2021-02-26,05:52:40.875489,2021-02-26,05:52:40,0,0
4366,2021-02-26,360,2021-02-25,02:30:07.497308,2021-02-26,05:51:26,3,0
4367,2021-02-26,372,2021-02-25,02:30:07.730210,2021-02-26,05:52:11,3,0
4368,2021-02-26,371,2021-02-26,05:53:42.576082,2021-02-26,05:53:42,0,0
4369,2021-02-26,376,2021-02-25,02:30:07.810234,2021-02-26,05:51:54,3,0
4370,2021-02-26,506,2021-02-25,02:30:11.770691,NULL,NULL,NULL,NULL
4371,2021-02-26,584,2021-02-26,05:54:45.445545,2021-02-26,05:54:45,0,0
4372,2021-02-26,494,2021-02-25,02:30:11.735218,2021-02-25,05:54:47,3,0
4373,2021-02-26,513,2021-02-25,02:30:12.573570,NULL,NULL,NULL,NULL
4374,2021-02-26,475,2021-02-26,05:56:25.711124,2021-02-26,05:56:25,0,0
4375,2021-02-26,361,2021-02-25,02:30:07.518646,2021-02-26,05:57:29,3,0
4376,2021-02-26,466,2021-02-26,05:57:54.870078,2021-02-26,05:57:54,0,0
4377,2021-02-26,435,2021-02-25,02:30:08.016003,2021-02-26,05:58:14,3,0
4378,2021-02-26,529,2021-02-25,02:30:11.883286,NULL,NULL,NULL,NULL
4379,2021-02-26,369,2021-02-25,02:30:07.684862,NULL,NULL,NULL,NULL
4380,2021-02-26,368,2021-02-25,02:30:07.662068,2021-02-26,05:59:39,3,0
4381,2021-02-26,478,2021-02-25,02:30:11.700520,NULL,NULL,NULL,NULL
4382,2021-02-26,517,2021-02-25,02:30:11.826248,NULL,NULL,NULL,NULL
4383,2021-02-26,496,2021-02-25,02:30:12.501057,NULL,NULL,NULL,NULL
4384,2021-02-26,511,2021-02-25,02:30:12.555021,NULL,NULL,NULL,NULL
4385,2021-02-26,471,2021-02-25,02:30:12.464465,2021-02-25,06:00:36,4,0
4386,2021-02-26,370,2021-02-25,02:30:07.705456,2021-02-26,05:15:42,3,0
4387,2021-02-26,365,2021-02-25,02:30:07.600835,2021-02-26,06:01:14,4,0
4388,2021-02-26,363,2021-02-25,02:30:07.558615,2021-02-26,05:28:36,3,0
4389,2021-02-26,366,2021-02-25,02:30:07.621360,2021-02-26,06:01:16,4,0
4390,2021-02-26,355,2021-02-25,02:30:07.457283,2021-02-26,06:00:20,4,0
4391,2021-02-26,374,2021-02-25,02:30:07.769742,2021-02-26,06:01:12,4,0
4392,2021-02-26,383,2021-02-25,02:30:07.957080,2021-02-26,06:02:08,4,0
4393,2021-02-26,364,2021-02-25,02:30:07.580455,2021-02-26,06:01:18,4,0
4394,2021-02-26,470,2021-02-25,02:30:12.445332,2021-02-26,06:02:40,4,0
4395,2021-02-26,384,2021-02-25,02:30:07.976166,2021-02-26,06:02:34,4,0
4396,2021-02-26,573,2021-02-25,02:30:11.510138,NULL,NULL,NULL,NULL
4397,2021-02-26,380,2021-02-25,02:30:07.898203,2021-02-26,06:02:45,4,0
4398,2021-02-26,362,2021-02-25,02:30:07.539110,2021-02-26,06:03:34,4,0
4399,2021-02-26,538,2021-02-25,02:30:11.901864,2021-02-26,06:09:37,4,0
4400,2021-02-26,525,2021-02-25,02:30:11.864646,NULL,NULL,NULL,NULL
4401,2021-02-26,464,2021-02-25,02:30:11.647214,NULL,NULL,NULL,NULL
4402,2021-02-26,459,2021-02-26,06:35:46.172397,2021-02-26,06:35:46,0,0
4402,2021-02-26,459,2021-02-26,06:35:46.172397,2021-02-26,06:35:46,0,0
4402,2021-02-26,459,2021-02-26,06:35:46.172397,2021-02-26,06:35:46,0,0
4403,2021-02-26,437,2021-02-26,06:35:59.480527,2021-02-26,06:35:59,0,0
4403,2021-02-26,437,2021-02-26,06:35:59.480527,2021-02-26,06:35:59,0,0
4404,2021-02-26,283,2021-02-26,06:36:27.505108,2021-02-26,06:36:27,0,0
4404,2021-02-26,283,2021-02-26,06:36:27.505108,2021-02-26,06:36:27,0,0
4404,2021-02-26,283,2021-02-26,06:36:27.505108,2021-02-26,06:36:27,0,0
4405,2021-02-26,315,2021-02-26,06:45:44.795615,2021-02-26,06:45:44,0,0
4406,2021-02-26,413,2021-02-26,07:05:49.704868,2021-02-26,07:05:49,0,0
4407,2021-02-26,495,2021-02-26,07:09:49.650709,2021-02-26,07:09:49,0,0
4408,2021-02-26,552,2021-02-25,02:30:11.416427,NULL,NULL,NULL,NULL
4409,2021-02-26,544,2021-02-25,02:30:11.266949,NULL,NULL,NULL,NULL
4410,2021-02-26,487,2021-02-26,07:46:38.277211,2021-02-26,07:46:38,0,0
4411,2021-02-26,784,2021-02-25,11:07:04.688669,2021-02-25,16:01:09,5,0
4412,2021-02-26,754,2021-02-25,11:07:03.629393,NULL,NULL,NULL,NULL
4413,2021-02-26,757,2021-02-25,11:07:03.735398,NULL,NULL,NULL,NULL
4414,2021-02-26,859,2021-02-25,16:13:49.344017,2021-02-25,16:16:05,0,0
4415,2021-02-26,758,2021-02-25,11:07:03.755851,NULL,NULL,NULL,NULL
4416,2021-02-26,755,2021-02-25,11:07:03.650659,NULL,NULL,NULL,NULL
4417,2021-02-26,772,2021-02-25,11:07:04.329029,2021-02-25,16:02:20,5,0
4418,2021-02-26,820,2021-02-25,11:07:05.963079,2021-02-25,15:12:14,4,0
4419,2021-02-26,768,2021-02-25,11:07:04.181482,2021-02-25,19:22:39,8,0
4420,2021-02-26,767,2021-02-25,11:07:04.167676,2021-02-25,16:02:34,5,0
4421,2021-02-26,733,2021-02-25,11:07:02.938327,NULL,NULL,NULL,NULL
4422,2021-02-26,771,2021-02-25,11:07:04.293242,2021-02-26,08:11:34,3,0
4423,2021-02-26,732,2021-02-25,11:07:02.913060,NULL,NULL,NULL,NULL
4424,2021-02-26,737,2021-02-25,11:07:03.050608,NULL,NULL,NULL,NULL
4425,2021-02-26,545,2021-02-25,02:30:11.285826,NULL,NULL,NULL,NULL
4426,2021-02-26,690,2021-02-26,08:28:27.649006,2021-02-26,08:28:27,0,0
4427,2021-02-26,689,2021-02-26,08:30:54.045226,2021-02-26,08:30:54,0,0
4428,2021-02-26,684,2021-02-25,02:30:14.444371,2021-02-25,08:36:27,6,0
4429,2021-02-26,682,2021-02-25,02:30:14.407973,NULL,NULL,NULL,NULL
4430,2021-02-26,819,2021-02-26,08:39:36.862032,2021-02-26,08:45:21,0,0
4431,2021-02-26,578,2021-02-25,02:30:09.780809,2021-02-25,02:30:09,0,0
4432,2021-02-26,387,2021-02-25,02:30:09.591599,2021-02-26,08:53:08,6,0
4433,2021-02-26,486,2021-02-26,08:55:18.613116,2021-02-26,08:55:18,0,0
4434,2021-02-26,818,2021-02-26,08:39:36.845822,NULL,NULL,NULL,NULL
4435,2021-02-26,485,2021-02-25,02:30:10.940426,2021-02-25,02:30:10,0,0
4436,2021-02-26,398,2021-02-25,02:30:09.743250,2021-02-26,08:56:39,6,0
4437,2021-02-26,809,2021-02-26,08:38:29.799269,NULL,NULL,NULL,NULL
4438,2021-02-26,812,2021-02-26,08:39:36.811330,NULL,NULL,NULL,NULL
4439,2021-02-26,388,2021-02-25,02:30:09.612001,2021-02-26,08:57:16,6,0
4440,2021-02-26,532,2021-02-25,02:30:11.073775,NULL,NULL,NULL,NULL
4441,2021-02-26,603,2021-02-25,02:30:14.832429,2021-02-25,21:00:18,19,0
4442,2021-02-26,482,2021-02-25,02:30:10.884054,2021-02-25,02:30:10,0,0
4443,2021-02-26,604,2021-02-26,09:00:22.189516,2021-02-26,09:00:22,0,0
4443,2021-02-26,604,2021-02-26,09:00:22.189516,2021-02-26,09:00:22,0,0
4444,2021-02-26,313,2021-02-26,09:00:46.639004,2021-02-26,09:00:46,0,0
4444,2021-02-26,313,2021-02-26,09:00:46.639004,2021-02-26,09:00:46,0,0
4444,2021-02-26,313,2021-02-26,09:00:46.639004,2021-02-26,09:00:46,0,0
4445,2021-02-26,600,2021-02-26,09:01:12.758728,2021-02-26,09:01:12,0,0
4445,2021-02-26,600,2021-02-26,09:01:12.758728,2021-02-26,09:01:12,0,0
4446,2021-02-26,717,2021-02-25,02:30:15.099441,2021-02-26,07:56:44,5,0
4447,2021-02-26,533,2021-02-25,02:30:11.092891,NULL,NULL,NULL,NULL
4448,2021-02-26,484,2021-02-25,02:30:10.921862,2021-02-26,09:01:33,7,0
4449,2021-02-26,490,2021-02-25,02:30:10.976901,NULL,NULL,NULL,NULL
4450,2021-02-26,695,2021-02-26,09:01:55.192364,2021-02-26,09:01:55,0,0
4451,2021-02-26,694,2021-02-26,09:02:26.520458,2021-02-26,09:02:26,0,0
4452,2021-02-26,606,2021-02-25,02:30:14.908689,2021-02-25,21:01:18,19,0
4453,2021-02-26,605,2021-02-25,02:30:14.890698,2021-02-26,08:52:51,6,0
4454,2021-02-26,441,2021-02-25,02:30:10.129506,2021-02-25,02:30:10,0,0
4455,2021-02-26,442,2021-02-25,02:30:10.148208,2021-02-25,02:30:10,0,0
4456,2021-02-26,589,2021-02-25,02:30:10.340474,2021-02-25,02:30:10,0,0
4457,2021-02-26,451,2021-02-25,02:30:10.186612,2021-02-25,02:30:10,0,0
4458,2021-02-26,455,2021-02-25,02:30:10.263875,2021-02-26,09:04:22,7,0
4459,2021-02-26,450,2021-02-25,02:30:10.167486,2021-02-25,02:30:10,0,0
4460,2021-02-26,390,2021-02-25,02:30:09.649232,2021-02-26,09:04:40,7,0
4461,2021-02-26,559,2021-02-25,02:30:10.038717,2021-02-26,09:05:08,7,0
4462,2021-02-26,696,2021-02-26,09:06:27.441560,2021-02-26,09:06:27,0,0
4463,2021-02-26,711,2021-02-25,02:30:14.973664,2021-02-26,09:06:25,7,0
4464,2021-02-26,480,2021-02-25,02:30:10.845612,2021-02-25,09:09:34,7,0
4465,2021-02-26,492,2021-02-25,02:30:10.995015,NULL,NULL,NULL,NULL
4466,2021-02-26,400,2021-02-26,09:08:15.959215,2021-02-26,09:08:15,0,0
4467,2021-02-26,401,2021-02-26,09:08:21.401694,2021-02-26,09:08:21,0,0
4468,2021-02-26,402,2021-02-26,09:08:26.525530,2021-02-26,09:08:26,0,0
4469,2021-02-26,481,2021-02-25,02:30:10.865125,NULL,NULL,NULL,NULL
4470,2021-02-26,531,2021-02-25,02:30:11.054202,NULL,NULL,NULL,NULL
4471,2021-02-26,448,2021-02-25,02:30:09.935107,2021-02-26,09:10:54,7,0
4472,2021-02-26,405,2021-02-26,09:11:13.810065,2021-02-26,09:11:13,0,0
4473,2021-02-26,445,2021-02-25,02:30:09.879464,2021-02-25,09:24:49,7,0
4474,2021-02-26,571,2021-02-25,02:30:10.302691,2021-02-26,09:11:23,7,0
4475,2021-02-26,447,2021-02-25,02:30:09.916508,2021-02-25,02:30:09,0,0
4476,2021-02-26,530,2021-02-25,02:30:11.033993,NULL,NULL,NULL,NULL
4477,2021-02-26,536,2021-02-25,02:30:11.152257,NULL,NULL,NULL,NULL
4478,2021-02-26,595,2021-02-26,09:17:45.021390,2021-02-26,09:17:45,0,0
4478,2021-02-26,595,2021-02-26,09:17:45.021390,2021-02-26,09:17:45,0,0
4479,2021-02-26,449,2021-02-25,02:30:09.954127,2021-02-25,02:30:09,0,0
4480,2021-02-26,393,2021-02-25,02:30:09.686023,2021-02-26,09:23:32,7,0
4481,2021-02-26,534,2021-02-25,02:30:11.113427,2021-02-26,09:27:07,7,0
4482,2021-02-26,557,2021-02-25,02:30:10.013243,2021-02-25,02:30:10,0,0
4483,2021-02-26,543,2021-02-25,02:30:11.247086,NULL,NULL,NULL,NULL
4484,2021-02-26,553,2021-02-25,02:30:11.435532,NULL,NULL,NULL,NULL
4485,2021-02-26,790,2021-02-25,11:07:04.917767,2021-02-25,17:01:18,6,0
4486,2021-02-26,542,2021-02-25,02:30:11.227000,NULL,NULL,NULL,NULL
4487,2021-02-26,396,2021-02-25,02:30:09.722876,2021-02-26,09:42:29,7,0
4488,2021-02-26,549,2021-02-25,02:30:11.361187,NULL,NULL,NULL,NULL
4489,2021-02-26,556,2021-02-25,02:30:11.491487,2021-02-25,10:15:22,8,0
4490,2021-02-26,551,2021-02-25,02:30:11.398045,NULL,NULL,NULL,NULL
4491,2021-02-26,503,2021-02-25,02:30:11.014551,NULL,NULL,NULL,NULL
4492,2021-02-26,776,2021-02-25,11:07:04.427527,2021-02-25,16:02:36,5,0
4493,2021-02-26,753,2021-02-25,11:07:03.615217,NULL,NULL,NULL,NULL
4494,2021-02-26,546,2021-02-25,02:30:11.304922,NULL,NULL,NULL,NULL
4495,2021-02-26,555,2021-02-25,02:30:11.472800,NULL,NULL,NULL,NULL
4496,2021-02-26,788,2021-02-25,11:07:04.871890,2021-02-25,16:01:58,5,0
4497,2021-02-26,787,2021-02-25,11:07:04.815613,NULL,NULL,NULL,NULL
4498,2021-02-26,775,2021-02-25,11:07:04.413850,2021-02-25,16:00:43,5,0
4499,2021-02-26,769,2021-02-25,11:07:04.231986,2021-02-25,16:01:51,5,0
4500,2021-02-26,801,2021-02-25,11:07:05.343052,2021-02-26,10:01:33,1,0
4501,2021-02-26,509,2021-02-26,10:01:36.847880,2021-02-26,10:01:36,0,0
4502,2021-02-26,499,2021-02-26,10:11:58.967855,2021-02-26,10:11:58,0,0
4503,2021-02-26,796,2021-02-25,11:07:05.156640,2021-02-25,16:01:34,5,0
4504,2021-02-26,541,2021-02-25,02:30:11.208570,NULL,NULL,NULL,NULL
4505,2021-02-26,554,2021-02-25,02:30:11.454546,NULL,NULL,NULL,NULL
4506,2021-02-26,550,2021-02-25,02:30:11.379683,NULL,NULL,NULL,NULL
4507,2021-02-26,394,2021-02-26,12:09:51.748493,2021-02-26,12:09:51,0,0
4508,2021-02-26,479,2021-02-26,12:15:49.500595,2021-02-26,12:15:49,0,0
4509,2021-02-26,336,2021-02-25,02:30:08.172323,NULL,NULL,NULL,NULL
4510,2021-02-26,339,2021-02-25,02:30:08.232940,2021-02-26,13:37:54,11,0
4511,2021-02-26,335,2021-02-26,13:38:17.527995,2021-02-26,13:38:17,0,0
4512,2021-02-26,333,2021-02-25,02:30:08.131924,NULL,NULL,NULL,NULL
4513,2021-02-26,342,2021-02-25,02:30:08.273991,2021-02-26,13:38:12,11,0
4514,2021-02-26,334,2021-02-25,02:30:08.152022,NULL,NULL,NULL,NULL
4515,2021-02-26,527,2021-02-25,02:30:12.091404,NULL,NULL,NULL,NULL
4516,2021-02-26,498,2021-02-25,02:30:11.967709,NULL,NULL,NULL,NULL
4517,2021-02-26,349,2021-02-25,02:30:08.454653,2021-02-26,13:43:57,11,0
4518,2021-02-26,345,2021-02-25,02:30:08.340229,2021-02-26,13:43:44,11,0
